Domain Code,Domain,Survey Code,Survey,Geographic Level Code,Geographic Level,Food Group Code,Food Group,Indicator Code,Indicator,Element Code,Element,Unit,Value,Flag,Flag Description
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW0,MDD-W Food groups,6211,Percentage of women achieving MDD-W,6121,Value,%,49.9,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW0,MDD-W Food groups,6211,Percentage of women achieving MDD-W,6121,Value,%,46.7,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW0,MDD-W Food groups,6211,Percentage of women achieving MDD-W,6121,Value,%,52.4,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW1,"Grains, white roots and tubers, and plantains",6212,Percentage of women consuming each food group,6121,Value,%,98.9,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW1,"Grains, white roots and tubers, and plantains",6212,Percentage of women consuming each food group,6121,Value,%,98.9,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW1,"Grains, white roots and tubers, and plantains",6212,Percentage of women consuming each food group,6121,Value,%,98.9,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW1A,Foods made from grains,6212,Percentage of women consuming each food group,6121,Value,%,91.1,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW1A,Foods made from grains,6212,Percentage of women consuming each food group,6121,Value,%,89.7,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW1A,Foods made from grains,6212,Percentage of women consuming each food group,6121,Value,%,92.1,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW1B,White roots and tubers or plantains,6212,Percentage of women consuming each food group,6121,Value,%,61.8,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW1B,White roots and tubers or plantains,6212,Percentage of women consuming each food group,6121,Value,%,65.9,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW1B,White roots and tubers or plantains,6212,Percentage of women consuming each food group,6121,Value,%,58.7,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW2,"Pulses (beans, peas and lentils)",6212,Percentage of women consuming each food group,6121,Value,%,23.5,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW2,"Pulses (beans, peas and lentils)",6212,Percentage of women consuming each food group,6121,Value,%,25.5,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW2,"Pulses (beans, peas and lentils)",6212,Percentage of women consuming each food group,6121,Value,%,22,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW3,Nuts and seeds,6212,Percentage of women consuming each food group,6121,Value,%,34.2,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW3,Nuts and seeds,6212,Percentage of women consuming each food group,6121,Value,%,38.7,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW3,Nuts and seeds,6212,Percentage of women consuming each food group,6121,Value,%,30.8,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW4,Dairy,6212,Percentage of women consuming each food group,6121,Value,%,15.4,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW4,Dairy,6212,Percentage of women consuming each food group,6121,Value,%,8.1,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW4,Dairy,6212,Percentage of women consuming each food group,6121,Value,%,20.9,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW5,"Meat, poultry and fish",6212,Percentage of women consuming each food group,6121,Value,%,91,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW5,"Meat, poultry and fish",6212,Percentage of women consuming each food group,6121,Value,%,89.8,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW5,"Meat, poultry and fish",6212,Percentage of women consuming each food group,6121,Value,%,91.9,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW6,Eggs,6212,Percentage of women consuming each food group,6121,Value,%,27.6,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW6,Eggs,6212,Percentage of women consuming each food group,6121,Value,%,18.3,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW6,Eggs,6212,Percentage of women consuming each food group,6121,Value,%,34.7,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW7,Dark green leafy vegetables,6212,Percentage of women consuming each food group,6121,Value,%,71.8,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW7,Dark green leafy vegetables,6212,Percentage of women consuming each food group,6121,Value,%,73.1,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW7,Dark green leafy vegetables,6212,Percentage of women consuming each food group,6121,Value,%,70.9,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW8,Other vitamin A-rich fruits and vegetables,6212,Percentage of women consuming each food group,6121,Value,%,15.7,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW8,Other vitamin A-rich fruits and vegetables,6212,Percentage of women consuming each food group,6121,Value,%,11.8,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW8,Other vitamin A-rich fruits and vegetables,6212,Percentage of women consuming each food group,6121,Value,%,18.7,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW9,"Vegetables, other",6212,Percentage of women consuming each food group,6121,Value,%,51.5,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW9,"Vegetables, other",6212,Percentage of women consuming each food group,6121,Value,%,54.6,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW9,"Vegetables, other",6212,Percentage of women consuming each food group,6121,Value,%,49.2,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW10,"Fruits, other",6212,Percentage of women consuming each food group,6121,Value,%,34,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW10,"Fruits, other",6212,Percentage of women consuming each food group,6121,Value,%,31.4,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW10,"Fruits, other",6212,Percentage of women consuming each food group,6121,Value,%,35.9,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW11,Fried and salty snacks,6212,Percentage of women consuming each food group,6121,Value,%,10.6,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW11,Fried and salty snacks,6212,Percentage of women consuming each food group,6121,Value,%,6.6,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW11,Fried and salty snacks,6212,Percentage of women consuming each food group,6121,Value,%,13.6,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW12,Sweet foods,6212,Percentage of women consuming each food group,6121,Value,%,21.9,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW12,Sweet foods,6212,Percentage of women consuming each food group,6121,Value,%,16.8,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW12,Sweet foods,6212,Percentage of women consuming each food group,6121,Value,%,25.7,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW13,Sweet beverages,6212,Percentage of women consuming each food group,6121,Value,%,37.1,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW13,Sweet beverages,6212,Percentage of women consuming each food group,6121,Value,%,27,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW13,Sweet beverages,6212,Percentage of women consuming each food group,6121,Value,%,44.7,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW15,Red palm oil,6212,Percentage of women consuming each food group,6121,Value,%,30.2,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW15,Red palm oil,6212,Percentage of women consuming each food group,6121,Value,%,28.3,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW15,Red palm oil,6212,Percentage of women consuming each food group,6121,Value,%,31.7,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10000,National,FGW18,Other beverages and foods,6212,Percentage of women consuming each food group,6121,Value,%,1.7,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10002,Rural,FGW18,Other beverages and foods,6212,Percentage of women consuming each food group,6121,Value,%,1.6,E,Estimated value
MDDW,"Diversity (MDD-W, Minimum Dietary Diversity for Women)",288_2022,Ghana - 2022,10001,Urban,FGW18,Other beverages and foods,6212,Percentage of women consuming each food group,6121,Value,%,1.7,E,Estimated value
