Survey Code,Survey,Food Group Code,Food Group,Indicator Code,Indicator,Geographic Level Code,Geographic Level,Element Code,Element,Unit,Value,Flag
"076_2014","Brazil - 2014","FGW0","MDD-W Food groups","6211","Percentage of women achieving MDD-W","10000","National","6121","Value","%","54.800000","E"
"076_2014","Brazil - 2014","FGW0","MDD-W Food groups","6211","Percentage of women achieving MDD-W","10002","Rural","6121","Value","%","70.100000","E"
"076_2014","Brazil - 2014","FGW0","MDD-W Food groups","6211","Percentage of women achieving MDD-W","10001","Urban","6121","Value","%","54.400000","E"
"076_2014","Brazil - 2014","FGW1","Grains, white roots and tubers, and plantains","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","98.900000","E"
"076_2014","Brazil - 2014","FGW1","Grains, white roots and tubers, and plantains","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","99.600000","E"
"076_2014","Brazil - 2014","FGW1","Grains, white roots and tubers, and plantains","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","98.900000","E"
"076_2014","Brazil - 2014","FGW2","Pulses (beans, peas and lentils)","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","63.600000","E"
"076_2014","Brazil - 2014","FGW2","Pulses (beans, peas and lentils)","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","79.200000","E"
"076_2014","Brazil - 2014","FGW2","Pulses (beans, peas and lentils)","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","63.300000","E"
"076_2014","Brazil - 2014","FGW3","Nuts and seeds","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","0.900000","E"
"076_2014","Brazil - 2014","FGW3","Nuts and seeds","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","0.200000","E"
"076_2014","Brazil - 2014","FGW3","Nuts and seeds","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","1.000000","E"
"076_2014","Brazil - 2014","FGW4","Dairy","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","59.500000","E"
"076_2014","Brazil - 2014","FGW4","Dairy","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","47.200000","E"
"076_2014","Brazil - 2014","FGW4","Dairy","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","59.800000","E"
"076_2014","Brazil - 2014","FGW5","Meat, poultry and fish","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","92.100000","E"
"076_2014","Brazil - 2014","FGW5","Meat, poultry and fish","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","94.900000","E"
"076_2014","Brazil - 2014","FGW5","Meat, poultry and fish","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","92.100000","E"
"076_2014","Brazil - 2014","FGW6","Eggs","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","21.800000","E"
"076_2014","Brazil - 2014","FGW6","Eggs","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","31.800000","E"
"076_2014","Brazil - 2014","FGW6","Eggs","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","21.600000","E"
"076_2014","Brazil - 2014","FGW7","Dark green leafy vegetables","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","3.600000","E"
"076_2014","Brazil - 2014","FGW7","Dark green leafy vegetables","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","0.300000","E"
"076_2014","Brazil - 2014","FGW7","Dark green leafy vegetables","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","3.700000","E"
"076_2014","Brazil - 2014","FGW8","Other vitamin A-rich fruits and vegetables","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","20.900000","E"
"076_2014","Brazil - 2014","FGW8","Other vitamin A-rich fruits and vegetables","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","38.300000","E"
"076_2014","Brazil - 2014","FGW8","Other vitamin A-rich fruits and vegetables","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","20.500000","E"
