Year,Dairy_Supply,Pulses_Supply,Eggs_Supply,Vegetables_Supply,Grains_Tubers_Supply,Nuts_Seeds_Supply
2010,25.16,14.62,5.02,119.81,451.74,44.85
2011,24.38,14.67,5.05,115.68,442.27,46.49
2012,24.34,14.5,5.3,112.35,444.28,44.6
2013,23.84,13.55,5.14,108.22,462.31,43.13
2014,23.18,13.37,5.17,104.61,456.23,43.82
2015,22.56,13.18,5.01,101.56,460.56,44.19
2016,22.13,12.66,5.12,98.57,456.5,41.96
2017,22.24,11.69,5.18,93.17,467.75,43.64
2018,21.63,11.86,5.32,89.01,459.86,40.52
2019,20.1,10.8,5.21,86.42,450.98,43.61
2020,19.81,10.54,5.16,79.83,463.91,42.82
2021,20.12,10.35,5.28,78.8,459.77,43.06
2022,19.55,9.43,5.14,74.06,462.45,42.12
2023,19.2,9.39,5.32,69.9,474.4,42.1
