Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Release,Unit,Value,Flag,Flag Description
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6226,Value,70040,Cost of a healthy diet (CoHD),2017,2017,July 2026 (SOFI report),Int$ (PPP) per person per day,3.54,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6226,Value,70040,Cost of a healthy diet (CoHD),2018,2018,July 2026 (SOFI report),Int$ (PPP) per person per day,3.51,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6226,Value,70040,Cost of a healthy diet (CoHD),2019,2019,July 2026 (SOFI report),Int$ (PPP) per person per day,3.48,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6226,Value,70040,Cost of a healthy diet (CoHD),2020,2020,July 2026 (SOFI report),Int$ (PPP) per person per day,3.46,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6226,Value,70040,Cost of a healthy diet (CoHD),2021,2021,July 2026 (SOFI report),Int$ (PPP) per person per day,3.5,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6226,Value,70040,Cost of a healthy diet (CoHD),2022,2022,July 2026 (SOFI report),Int$ (PPP) per person per day,3.83,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6226,Value,70040,Cost of a healthy diet (CoHD),2023,2023,July 2026 (SOFI report),Int$ (PPP) per person per day,4.29,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6226,Value,70040,Cost of a healthy diet (CoHD),2024,2024,July 2026 (SOFI report),Int$ (PPP) per person per day,4.49,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6226,Value,70040,Cost of a healthy diet (CoHD),2025,2025,July 2026 (SOFI report),Int$ (PPP) per person per day,4.65,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6205,Value,70041,Cost of a healthy diet (CoHD),2017,2017,July 2026 (SOFI report),LCU/cap/d,6.05,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6205,Value,70041,Cost of a healthy diet (CoHD),2018,2018,July 2026 (SOFI report),LCU/cap/d,6.53,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6205,Value,70041,Cost of a healthy diet (CoHD),2019,2019,July 2026 (SOFI report),LCU/cap/d,7.01,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6205,Value,70041,Cost of a healthy diet (CoHD),2020,2020,July 2026 (SOFI report),LCU/cap/d,7.79,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6205,Value,70041,Cost of a healthy diet (CoHD),2021,2021,July 2026 (SOFI report),LCU/cap/d,8.59,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6205,Value,70041,Cost of a healthy diet (CoHD),2022,2022,July 2026 (SOFI report),LCU/cap/d,11.43,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6205,Value,70041,Cost of a healthy diet (CoHD),2023,2023,July 2026 (SOFI report),LCU/cap/d,16.99,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6205,Value,70041,Cost of a healthy diet (CoHD),2024,2024,July 2026 (SOFI report),LCU/cap/d,21.18,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6205,Value,70041,Cost of a healthy diet (CoHD),2025,2025,July 2026 (SOFI report),LCU/cap/d,24.81,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6226,Value,70070,Cost of starchy staples,2021,2021,July 2026 (SOFI report),Int$ (PPP) per person per day,0.69,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6205,Value,70071,Cost of starchy staples,2021,2021,July 2026 (SOFI report),LCU/cap/d,1.7,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6226,Value,70080,Cost of animal source foods,2021,2021,July 2026 (SOFI report),Int$ (PPP) per person per day,1.44,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6205,Value,70081,Cost of animal source foods,2021,2021,July 2026 (SOFI report),LCU/cap/d,3.53,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6226,Value,70090,"Cost of legumes, nuts and seeds",2021,2021,July 2026 (SOFI report),Int$ (PPP) per person per day,0.39,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6205,Value,70091,"Cost of legumes, nuts and seeds",2021,2021,July 2026 (SOFI report),LCU/cap/d,0.97,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6226,Value,70100,Cost of vegetables,2021,2021,July 2026 (SOFI report),Int$ (PPP) per person per day,0.46,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6205,Value,70101,Cost of vegetables,2021,2021,July 2026 (SOFI report),LCU/cap/d,1.13,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6226,Value,70110,Cost of fruits,2021,2021,July 2026 (SOFI report),Int$ (PPP) per person per day,0.25,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6205,Value,70111,Cost of fruits,2021,2021,July 2026 (SOFI report),LCU/cap/d,0.62,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6226,Value,70120,Cost of oils and fats,2021,2021,July 2026 (SOFI report),Int$ (PPP) per person per day,0.27,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6205,Value,70121,Cost of oils and fats,2021,2021,July 2026 (SOFI report),LCU/cap/d,0.65,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6121,Value,7005,Prevalence of unaffordability (PUA),2017,2017,July 2026 (SOFI report),%,67.2,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6121,Value,7005,Prevalence of unaffordability (PUA),2018,2018,July 2026 (SOFI report),%,66.1,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6121,Value,7005,Prevalence of unaffordability (PUA),2019,2019,July 2026 (SOFI report),%,64.8,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6121,Value,7005,Prevalence of unaffordability (PUA),2020,2020,July 2026 (SOFI report),%,65.6,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6121,Value,7005,Prevalence of unaffordability (PUA),2021,2021,July 2026 (SOFI report),%,64.7,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6121,Value,7005,Prevalence of unaffordability (PUA),2022,2022,July 2026 (SOFI report),%,64.7,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6121,Value,7005,Prevalence of unaffordability (PUA),2023,2023,July 2026 (SOFI report),%,66.4,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6121,Value,7005,Prevalence of unaffordability (PUA),2024,2024,July 2026 (SOFI report),%,65.8,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6121,Value,7005,Prevalence of unaffordability (PUA),2025,2025,July 2026 (SOFI report),%,65.8,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6132,Value,7006,Number of people unable to afford a healthy diet (NUA),2017,2017,July 2026 (SOFI report),million No,20.2,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6132,Value,7006,Number of people unable to afford a healthy diet (NUA),2018,2018,July 2026 (SOFI report),million No,20.2,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6132,Value,7006,Number of people unable to afford a healthy diet (NUA),2019,2019,July 2026 (SOFI report),million No,20.3,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6132,Value,7006,Number of people unable to afford a healthy diet (NUA),2020,2020,July 2026 (SOFI report),million No,20.9,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6132,Value,7006,Number of people unable to afford a healthy diet (NUA),2021,2021,July 2026 (SOFI report),million No,21.1,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6132,Value,7006,Number of people unable to afford a healthy diet (NUA),2022,2022,July 2026 (SOFI report),million No,21.5,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6132,Value,7006,Number of people unable to afford a healthy diet (NUA),2023,2023,July 2026 (SOFI report),million No,22.4,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6132,Value,7006,Number of people unable to afford a healthy diet (NUA),2024,2024,July 2026 (SOFI report),million No,22.6,E,Estimated value
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),288,Ghana,6132,Value,7006,Number of people unable to afford a healthy diet (NUA),2025,2025,July 2026 (SOFI report),million No,23.1,E,Estimated value
