Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),288,Ghana,511,Total Population - Both sexes,S2501,Population,2010,2010,1000 No,25474.99,X,Value from external organization,
FBS,Food Balances (2010-),288,Ghana,511,Total Population - Both sexes,S2501,Population,2011,2011,1000 No,26095.09,X,Value from external organization,
FBS,Food Balances (2010-),288,Ghana,511,Total Population - Both sexes,S2501,Population,2012,2012,1000 No,26734.27,X,Value from external organization,
FBS,Food Balances (2010-),288,Ghana,511,Total Population - Both sexes,S2501,Population,2013,2013,1000 No,27386.19,X,Value from external organization,
FBS,Food Balances (2010-),288,Ghana,511,Total Population - Both sexes,S2501,Population,2014,2014,1000 No,28041.59,X,Value from external organization,
FBS,Food Balances (2010-),288,Ghana,511,Total Population - Both sexes,S2501,Population,2015,2015,1000 No,28696.07,X,Value from external organization,
FBS,Food Balances (2010-),288,Ghana,511,Total Population - Both sexes,S2501,Population,2016,2016,1000 No,29356.74,X,Value from external organization,
FBS,Food Balances (2010-),288,Ghana,511,Total Population - Both sexes,S2501,Population,2017,2017,1000 No,30008.35,X,Value from external organization,
FBS,Food Balances (2010-),288,Ghana,511,Total Population - Both sexes,S2501,Population,2018,2018,1000 No,30637.58,X,Value from external organization,
FBS,Food Balances (2010-),288,Ghana,511,Total Population - Both sexes,S2501,Population,2019,2019,1000 No,31258.94,X,Value from external organization,
FBS,Food Balances (2010-),288,Ghana,511,Total Population - Both sexes,S2501,Population,2020,2020,1000 No,31887.81,X,Value from external organization,
FBS,Food Balances (2010-),288,Ghana,511,Total Population - Both sexes,S2501,Population,2021,2021,1000 No,32518.67,X,Value from external organization,
FBS,Food Balances (2010-),288,Ghana,511,Total Population - Both sexes,S2501,Population,2022,2022,1000 No,33149.15,X,Value from external organization,
FBS,Food Balances (2010-),288,Ghana,511,Total Population - Both sexes,S2501,Population,2023,2023,1000 No,33787.91,X,Value from external organization,
FBS,Food Balances (2010-),288,Ghana,5611,Import quantity,S2511,Wheat and products,2010,2010,1000 t,426,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5072,Stock Variation,S2511,Wheat and products,2010,2010,1000 t,-15,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5911,Export quantity,S2511,Wheat and products,2010,2010,1000 t,8,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5301,Domestic supply quantity,S2511,Wheat and products,2010,2010,1000 t,433,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5521,Feed,S2511,Wheat and products,2010,2010,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5131,Processing,S2511,Wheat and products,2010,2010,1000 t,7,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5170,Residuals,S2511,Wheat and products,2010,2010,1000 t,9,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5142,Food,S2511,Wheat and products,2010,2010,1000 t,417,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2010,2010,kg/cap,16.37,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,664,Food supply (kcal/capita/day),S2511,Wheat and products,2010,2010,kcal/cap/d,111.24,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,661,Food supply (kcal),S2511,Wheat and products,2010,2010,million Kcal,1034371.89,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2010,2010,g/cap/d,3.34,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,671,Protein supply quantity (t),S2511,Wheat and products,2010,2010,t,31071.05,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2010,2010,g/cap/d,0.92,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,681,Fat supply quantity (t),S2511,Wheat and products,2010,2010,t,8516.98,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5611,Import quantity,S2511,Wheat and products,2011,2011,1000 t,483,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5072,Stock Variation,S2511,Wheat and products,2011,2011,1000 t,22,I,Value imputed by a receiving agency,
